"date","value","factor"
"2016-03-01",3,"Validated Case"
"2016-03-01",2,"Unvalidated Case"
"2016-03-03",4,"Validated Case"
"2016-03-03",1,"Unvalidated Case"
"2016-03-05",5,"Validated Case"
"2016-03-06",1,"Unvalidated Case"
"2016-03-07",2,"Validated Case"
"2016-03-07",1,"Unvalidated Case"
"2016-03-14",4,"Validated Case"
"2016-03-15",1,"Validated Case"
"2016-03-16",7,"Validated Case"
"2016-03-16",3,"Unvalidated Case"
"2016-03-27",3,"Unvalidated Case"
"2016-03-28",1,"Validated Case"
"2016-03-28",1,"Unvalidated Case"
"2016-03-30",4,"Validated Case"
"2016-03-31",2,"Validated Case"
"2016-04-01",3,"Validated Case"
"2016-04-03",1,"Validated Case"
"2016-04-04",2,"Validated Case"
"2016-04-04",4,"Unvalidated Case"
"2016-04-07",6,"Unvalidated Case"
"2016-04-08",9,"Validated Case"
"2016-04-09",7,"Validated Case"
"2016-04-09",8,"Unvalidated Case"
"2016-04-13",2,"Validated Case"
"2016-04-14",1,"Validated Case"
"2016-04-15",3,"Validated Case"
"2016-04-16",6,"Validated Case"
"2016-04-17",4,"Validated Case"
"2016-04-18",8,"Validated Case"
"2016-04-18",9,"Unvalidated Case"
"2016-04-27",11,"Validated Case"
"2016-04-27",2,"Unvalidated Case"
"2016-04-29",3,"Validated Case"
"2016-04-30",6,"Validated Case"
